"","artist","song","spotify_uri"
"125","120 Days","Be Mine","5dv55JKRMRzhx99I3a0DTu"
"126","120 Days","Get Away","4PSkG9uPTlj8jcTt5MbZBi"
"127","120 Days","Sleepwalking","4QO7gRu7dzAvw6LoZQk5Ch"
"128","1200 Micrograms","Albert Hoffman Tribute","4C06cXQbK41zjTPNZczv9G"
"129","1200 Micrograms","ECSTACY","4AmzRC0lXai5wImV1x1N2Q"
"130","1200 Micrograms","Garden of Eden","5hnDrgNFppqCBm7Ye6FQs8"
"131","1200 Micrograms","Marijuana","1npvnSIrXCHuKVYKS7KK4G"
"132","1200 Micrograms","Six (Double Helix)","0Ij3yAtNGY8JVvL0zryNvy"
"133","1200 Mics","1001 Arabian Nights","45g6U5GtXTOHrzI0F9h6QM"
"134","1200 Mics","DNA","5xzcNYjvemzGiwHuLKVTB8"
"135","1200 Techniques","Eye Of The Storm (Weapon X Remix)","4G1nPQSa0dAfTKdWWTGI8P"
"136","1200 Techniques","Fork In The Road (Original Version)","1hVs2otF3lktwga7IiztL4"
"137","1200 Techniques","Got 2 Survive","5cY4sVnCufKgGasTbD8DlZ"
"138","1200 Techniques","Talkin' You Back","6n47brwdErxot7SAFF9tfD"
"139","1200 Techniques","The Word (Feat. Krondon)","3UPqpkhL0yfOaxHbBXxyqk"
"140","1200 Techniques","What Goes Around Comes Around (DJ Peril Remix)","3cvQsxJVNmssiUsFbnFF3C"
"141","1200 Techniques DJ","A Regal Violation #1 (DJ Regal Remix)","2xEvQG5ea7mRSdoNEzdLNg"
"142","1208","Just Anyone","6Bcwgq7smwZTRowyn93UqX"
"143","1208","Pick Your Poison","56RSUBnwqCQs2gKsjxqlHG"
"144","1208","Slowburn","4nX31xkL1ZBWQQ2Y4Q3dDd"
"145","13 Cats","Chanting For Cadillacs","0aRBxhaucC6EratqgQtBas"
"146","13 Cats","Jungle Man - Robot Girl","658DiTCPCiwWtBq9qiLheF"
"147","13 Cats","Please Give Me Something","0Cqt0nJLCq1nZ0uG1kRcTl"
"148","13 Cats","Snap_ Crackle And Hiss","2ir0lpw8ZFSl1kasb01naG"
"149","13 Cats","Teddy Boy Kung Fu Weapon","1DVjqrwhKPhSzjuxU0w96N"
"150","1349","Demonoir","2hUkAsrdIXIMcVQYgQsi6w"
"151","1349","Sculptor of Flesh","329cU6FUBqFPXvT0tSg0YT"
"152","1349","To Rottendom","60ZHV95EtkByXX6tcHVgap"
"153","1349","Tunnel of Set XIII","3qIhXj8nNqj6uicXlbu2Dr"
"154","13th Chime","13th Victim","2CJDEP8aAFeb59dNS35YzG"
"155","13th Chime","Radio Man","1u2S7Ur3FoLu5WNGJ4HtMp"
"156","13th Chime","Sally Ditch","6fEE10byaM9QKF2ld5oKO1"
"157","13th Floor Elevators","Right Track Now","0Mkz19vHIzxI9eU1BbxiEc"
"158","13th Floor Elevators","The Wind And More","4nY6N310OyJ41prYh4ZjRH"
"159","16 Bit Lolitas","Back To One","6FkwccDs6UtjLcco57rZZ4"
"160","16Volt","A Cloth Like Gauze","4KgSEBPWO7rmrpLMXDi8KZ"
"161","16Volt","Head Of Stone","55Uv6eMdIPAZ3XQAH4Tj40"
"162","16Volt","Intro","360r6pqj0tuVGAvHWfKv6a"
"163","16Volt","Keep Sleeping","7bcef0CMrVsTebnhOcgWtG"
"164","16Volt","Stitched","6MPJbcBOMd9tJ5lN9VxsUr"
"165","16Volt","Swarm","5D35cgOM3iWZTxAt0MoIuH"
"166","16Volt","The Cut Collector","6Rm7O44v8N6U8nT8zbloCb"
"167","17","1 Time","0CqjnLDQ5nx03Nt1uW64iC"
"168","17 Hippies","Chassidic","3B9Un90pfQ4h4qcMWFzTlg"
"169","17 Hippies","Saint Behind The Glass","78cNAd13j8SQ8CnotfkJiC"
"170","17 Hippies","Schattenmann","4DtaaT13rPI4BQpidS38BI"
"171","17 Hippies","The End (To Get Done With It)","77ycGFp3TFrzqaPkS2o4rb"
"172","17 Hippies","Zweifel","5zhcS624MKoBIFmujV4bgu"
"173","18th Dye","Amorines","6IzbrvZxLCsyopKCCIdHag"
"174","18th Dye","Chinese Spoon","7dH5DTkw447uEdoDFzVkjX"
"175","18th Dye","Is","2SHNdh7qZzopM5Kml5G8hT"
"176","18th Dye","Text Is My Killer","3TVyuIuP0SiuqKSs2HfO0a"
"177","1910 Fruitgum Company","1910 Cotton Candy Castle","1TCvpaHFtDm5RgjTFWwJYR"
"178","1910 Fruitgum Company","May I Take A Giant Step (Into Your Heart)","4JxRaogKerhxhYALqEb5Cx"
"179","1910 Fruitgum Company","Sweet Lovin'","7IeY6AX7qqFzMMpAfJTMNT"
"180","1919","Slave","2Muie91de8KC85fsQgA8Gw"
"181","1919","Tear Down These Walls","08esaSH5bK74yG5ZqBeN8U"
"182","1929","Webbed Toes","1mT7g5M6MBieg6akzIDhWg"
"183","1984","D. Section","5nEpu3DIsm0J5S5AuXZSgP"
"184","1990s","59","4MR6vomhSF2IuK8KrMWOMo"
"185","1990s","The Box","5yzBnlJN1BET16MnL2PLtd"
"186","1990s","Vondelpark","6UuHMnDowDw7sL0eoxUkky"
"187","1997","#2","1XdtZEBpZ5lHl7UOFBrydV"
"188","1997","A Fruitless Year","1zbmwXvnkrcOsHtYzg5Min"
"189","1st Avenue","Maybe Tomorrow Never Comes","6kTNa0mpfMLbzaha3RoYNh"
"190","1st Avenue","Tears & Triumph","17WNgCYGsGg47Ve2Rxo4VY"
"191","2 Bit Pie","Here I Come","4BXQIQLDMouVmsxrflpq7p"
"192","2 Bit Pie","Nobody Never","1u8HFZSjmPXB2sXdy8HAmm"
"193","2 Brothers On The 4th Floor","Can't Help Myself","2ax1tvJzJdPpGazEuYECJt"
"194","2 Brothers On The 4th Floor","One Day (Lipstick Radio Mix)","5mqMglQtlZwSEp289fvRIx"
"195","2 Brothers On The 4th Floor","One Day (Soul Relation Mix)","6fgOmWPX8eczXctCxOAJac"
"196","2 Brothers On The 4th Floor","Smile","1m1q6rSpA0LH22sUynmH5W"
"197","2 Brothers On The 4th Floor","There's A Key (Radio Version)","6gPkkSD0zcMX0n9QydA2HI"
"198","2 Brothers On The 4th Floor","Where You're Going To? (Dance Therapy Clubmix)","4pTTp1OxSp3ZuHaYtbxuYc"
"199","2 Eivissa","Intro","4oEPHaOR3s9pMmLL8qkdX1"
"200","2 In A Room","Sambuca","21Vl42PDxK9XzeJSy6yAxR"
"201","2 In A Room","Wiggle It (SM In Motion Organ Mix)","2 In A Room"
"202","2 Minutos","Barricada","43kiH6mwO9WQDIBCiUhZNX"
"203","2 Minutos","Gatillo Facil","1jnVNVTl3bQIIZ7RLXiC4K"
"204","2 Minutos","Soledad","7moYWCC8JCkkyzrW2YFKKT"
"205","2 much!","Gangstas Do What They Want (ol koon)","2lraAjKHrd9sC9ZcTnl2Mi"
"206","2 Novembre","Estromessi","4rzQOE3QcDkEDqM0iiNA8l"
"207","2 Novembre","Rosa Shocking","5AkS8mWsIRen3kQaD3neZT"
"208","2 Pistols","Eyes Closed","1AorKOrjDX3OJzsEA6XSBj"
"209","2 Pistols","That's My Word (intro)","59OoHaLl66AhlY1GJBwOMo"
"210","2 Pistols / Trey Songz","That's My Word","4b1EqOCjImbwdiTj97Lxak"
"211","2 Pistols / Tyra B","Candy Coated Diamonds","5mvRTYbOiog9SCBaDBU6M1"
"212","2 Player","Extreme Possibilities","2 Player"
"213","2 Skinnee J's","3 Minutes","5F4Ra9PLfMSnO5WaIIzr17"
"214","2 Skinnee J's","Girl With The World In Her Eyes","5kPM9z4pgpIdhDMqwdkHtO"
"215","2 Unlimited","No Limit","7pSJmBTlbA4S5zSLsj6Pzz"
"216","2 Vibez","You Wanted Love","4mWmFl5LvEhSsABNdSekO2"
"217","2-Pac","The Money","7a0gqDl1eGtuXfFXVXpvJK"
"218","20 Minute Loop","5 AM To 9 AM","18OCaXCRUFCjAXrRyMejBM"
"219","20 Minute Loop","Disconnect","6aSGk8OyHBIdiopBLj1cQx"
"220","20 Minute Loop","I'll Never Forget You","116HMgKAelnYWE8IdoOB9i"
"221","20 Minute Loop","Our William Tell","4Q5z55f2jcPTUxIkJ9cWYg"
"222","20 Minute Loop","Pilot Light","5k0NGJSads7Vq8hW53z6em"
"223","2002","Bliss","30fqZ4sQUcdko0TVKjO3Rr"
"224","2002","Even Now","4VEFx4d85rN02nEw2ZzzlV"
"225","2002","Kindred Spirit","2rR3UIr6u80LF5NaURZ7mW"
"226","2002","Realms Of Splendor","1Bo8E2Jg4RdUEW5DwibMAf"
"227","20th Century Steel Band","Heaven And Hell Is On Earth","1SrGyJHwgPMqQ8KPmpUDRo"
"228","20th Century Steel Band","Lazy Days","4jRFLxfrVmcAmIWvm5IfCs"
"229","21 Hertz","Silence","1ETDEyWIdDDvYipEsqQ58M"
"230","21 Hertz","Sparrow","0s3Yy8NkbXhgUMH0lOgbQ4"
"231","21st Century Symphony Orchestra","Amen","21st Century Symphony Orchestra"
"232","22","Molecyl","65dekx9eXQIrsFUeeiHxq8"
"233","22","Suomiese Twins","6WqvvGauoZyK4Eivv6NmUt"
"234","22 Pistepirkko","Birdy","1A5kyguhx0spJ6peFzoTxW"
"235","220 Volt","Don't Come My Way","3TWKsTknlAQHDHmzveQUyS"
"236","220 Volt","Green Elements","0bHvqIFVfhnAAqcKIsIMHJ"
"237","220 Volt","Heavy Christmas","05oc5CuKwfcC1zw8QEdwQc"
"238","220 Volt","Prisoner Of War","01LD2gloqHMqiqDwnLrlLK"
"239","220 Volt","Sauron (LIVE)","67nZvN25zbdzafMPlZJCwI"
"240","220 Volt","Shotgun Sally","4aLWJSUQv7qg6xT6Yif0t7"
"241","220 Volt","Son In Law","0T2DjC1TLLM7QIf7VQjmVP"
"242","220 Volt","Woman In White (LIVE)","5B1TaAJdMzMluOCKFrorGO"
"243","23 Skidoo","Atmosfear","1AaILs9AypdTtROmOhZ6dz"
"244","23 Skidoo","Coup (In The Palace)","126K0jUd6yx8J1qCTIeYut"
"245","23 Skidoo","Drunken Reprisal","2xpgcyfdDz0MpkFM81WgVe"
"246","23 Skidoo","Dusk To Dawn","17gLrzz1U0rXyE4rfxTkiV"
"247","23 Skidoo","Eye Spy","4VxGQis0dxbSPk7zmVlXjm"
"248","23 Skidoo","Healing (For The Strong) (Part 2 - A Summer Rite)","6ViB7Cr4LS32jya4nU4sQg"
"249","23 Skidoo","Language (Dub)","5GXLTKk0xAV06NGIvy1ztC"
"250","23 Skidoo","Meltdown","5UomDLHwHYScgZunTV20Ww"
"251","23 Skidoo","Return of the Dragon","4ctAz9QUGqrOAzjLgHXxul"
"252","23 Skidoo","Roninstep","4q8HPj3sl5RZ5reyanGngu"
"253","23 Skidoo","Shrine","1JkUSzdpSmMlaCMuiQR2NH"
"254","23 Skidoo","Shrine (Part 1 - A Winter Ritual)","2GxALhrCo2vyL4Y6oeDZxQ"
"255","25 Ta Life","Hardcore Rules","75UjNrkncJ1idxVzlxkxLW"
"256","25 Ta Life","I Dont Care About You","3Vyj8euJZwy5Vdbo2p02L6"
"257","25 Ta Life","Inside Knowledge","17CjVgQEk8ucCy1Nu0NlMj"
"258","25 Ta Life","Ladyluck","2tmDn9E6ibA8Q0S5vQ657a"
"259","25 Ta Life","Lead Song","0HnwHRVnLt55TPuwKF2Fmc"
"260","25 Ta Life","So Cold","4tXASFBdf2buCSnqHffoJ2"
"261","2562","Enforcers","0jyl6JzJuy8LlWjLYkP32X"
"262","2562","Superflight","59jrdPnMVSJd2naX8k7JTd"
"263","2562","Third Wave","1d07Xkn7p0yHzim1FueOm1"
"264","2562","Unbalance","3KVYj87D3E41V41veqUFle"
"265","28 Costumes","Dull Boy","50bjR7wBwUMOvnKg1uAby5"
"266","28 Costumes","Fradulent","3xMmgZPHYs10P6laMdmu14"
"267","28 Costumes","I'm Not Going To Get Along With Him","4EPfX48MAnNKj5jnQ80rwG"
"268","28 Costumes","Still","28MQim4tgoLlYSbsZhtD9T"
"269","2econd Class Citizen","Step Inside","42pynge5pfGD26GtYMQ9p8"
"270","2econd Class Citizen","The Day Youre Lost Or Found","19P7xAlelgz1N9ylIpUmMM"
"271","2econd Class Citizen","The Way I Feel","5zfNROuC3aaUWH0S3YdFYr"
"272","2econd Class Citizen","Wait For Me","792YbV4OWZmjZ32mdiuN2l"
"273","2econd Class Citizen","Wishing Well (Wyred Remix)","74qw7TJhAdcgz1XUeXyKej"
"274","2K","El evated","16hx1ojhFugLovwORXnTWV"
"275","2K","Sewer Cruiser","0glg3DeFMH2d3giZwrmH3b"
"276","2K","What Music Are You","2YWWh4zRC9RVcPN3aJaJFn"
"277","2MB","Chiara (Original)","7avNi2VAtJBju6OnNy0znH"
"278","2Mex","Across & Down","0AsM6nUDqsRYgsj3u7z7FU"
"279","2Mex","Love You the Same","41ioiITfIbFcHssWLxGSpZ"
"280","2Mex & Life Rexall","Green Grass","4oYpqVOcRgWygi5J8RVBm5"
"281","2nd II None","Be True To Yourself","7eH6rFngQor2A08suABvGI"
"282","2nd II None","The Life Of A Player","16p2wiojmmFFNGXZ6bhxLy"
"283","2nd II None","Y?","2srWA2F7Dll5DpiTqrB5vq"
"284","2Pac","Enemies With Me","0aEW8gfrtpCLdCnQMSAMRA"
"285","2Pac","Fuck All Y'all","7s7yRjAnmqnNkT8TaRkzvc"
"286","2Pac","Old School","4GGbJ60q5HIN8wKOp9Xabz"
"287","2Pac","Starin' Through My Rear View","7025kUXC8eUXeWToS2gZXO"
"288","2Pac / Anthony Hamilton","Dear Mama","1R2fgS0ZEIgol44SFN2BrL"
"289","2Pac / Trick Daddy","Still Ballin'","6CMidyjegRGsM2NyEmbuoT"
"290","2raumwohnung","Besser Geht's Nicht","5grgrK1xKShKQaAuOsbWlX"
"291","2raumwohnung","Der Sommer Der Jetzt Nicht War","5fZ5p9o9Z80ymygq9U4GZY"
"292","2raumwohnung","Kommt zusammen","4RZclpT1QTxXcRNTnvlCsq"
"293","2raumwohnung","Lachen und weinen","4FmAH94FSwWaBTJI4V21tP"
"294","2raumwohnung","Lachen und weinen (Sun Electric Remix)","0WGF4NWNzx7ybpsSnQ9tgz"
"295","2raumwohnung","Nimm Sie","67ZkuOlDo3G4qiG79y87H0"
"296","2raumwohnung","Sasha (Sex Secret)","21w0WXPgEAKqaTC2BEIwbW"
"297","2tall","Preparation","36fTOzQaNbsb2xsk24ot5A"
"298","2tall","Sword 2","2ZGxf7xzlYbTGO1OTqX6wm"
"299","2tall feat. E Saint","Trains","3VxggriQDO2jY3POFf8O2Q"
"300","2XL","Clap Music","1rJtxIKB2YzkYDp8fN5DoZ"
"301","2XL","Magic City","7MVQ9kLmRIWa9b0G9hl91l"
"302","2XL","Mama of Mine","4WcYabg2TbCvtctlUFkt2f"
"303","2XL","The Chapters","3NYDxB9pCfUK19apyzsnYK"
"304","3 Channels","Aphasie","3COZgV05LZjGw9zE8LGvNn"
"305","3 Channels","This is your Sex","0kaQZQ1O2Y86i5e42G5OTo"
"306","3 Cold Men","Crossing Waters","36vAgA6TJGzWA9oCLEYn8c"
"307","3 Cold Men","I Need To Know","4DFiBsZi0pM2PKjKpC7KhY"
"308","3 Cold Men","My Greatest Greta","6XCLg9uaoRknyOyp6M8sVZ"
"309","3 Colours Red","Back To The City","6zSDmm5G6ABqx0lj8EhKgS"
"310","3 Colours Red","Copper Girl","6s0EtvU5bt2nn03rlD2qlj"
"311","3 Colours Red","Mental Blocks","4SXu0XnRttCXpVZ9Q89sEn"
"312","3 Colours Red","Sixty Mile Smile","0GJdSDsaHl7g7Nf2iwvlyd"
"313","3 Deep","House Beat","7qOsWy9SmsFKvIiX9dDmGR"
"314","3 Deep","Underground Investigation","1VPGshnpcmiuYTYTdplold"
"315","3 Doors Down","Duck And Run","0s8OsDxW96cl290PcsI2mX"
"316","3 Doors Down","My World","6nKotSZqZioQ7Ny3iEm0SS"
"317","3 Doors Down","Where My Christmas Lives","1Yv2NZoGHY49UFf12LPnKy"
"318","3 Doors Down","Your Arms Feel Like Home","0SanLvXc3eSY7XqfeMlDOS"
"319","3 Gars Su'l Sofa","Les loisirs","71QNFEllnfcUkDv8FFv24O"
"320","3 Gars Su'l Sofa","Trois","40bfA13fsSgwdSiycyzmMZ"
"321","3 Inches Of Blood","Call of the Hammer","2zAafMuovN3dBmRY0Mes49"
"322","3 Inches Of Blood","Snake Fighter","1onf9lP1XtB7EfrlAQHQL4"
"323","3 of Hearts","Over The Edge","2Z8URxpD4nlb3GUlQjQSFb"
"324","3 of Hearts","Sugar and Daisies","2y7vDnghGyEZE7xLhGZjtP"
"325","3 of Hearts","You Break Me","2AYisDKTgIFcBW7rm7kvO8"
"326","3 Steps Ahead","Gabbers Unite","1bwxynvl54cECrZp0X0GC6"
"327","3 Way Funk","3am Voice Mail Skit","2EAJHDKu5ZG94I7S2A2tBx"
"328","3 Way Funk","My Dog","3wHpfQLGtlLtmJa13atIt5"
"329","3-11 Porter","Surround Me With Your Love","3-11 Porter"
"330","30 Seconds To Mars","L490","30 Seconds To Mars"
"331","303","Aciid","3I192DwxhdpXAhZo4m56eT"
"332","310","A Fare to Remember","5DKkGJW6tmIuKxTBkQzeTO"
"333","310","Cloud Rooms","6gWIkeRRLczXQzACKKq7H5"
"334","310","Dick Vitale Is Dead","3JRS6ozBkTYIyJr8M5PSPv"
